number,card_id,cn_name,en_name,file_name,size,format,main_palette,composition,core_symbols,prompt_status,asset_status,notes
I-X,minor_wands_number_base,权杖数字牌共用底图,Wands Number Card Base,card_minor_wands_number_base.webp,1024x1792,WebP,"amber gold, warm ivory, terracotta, earth brown, fresh leaf green","single centered suit emblem in a calm mountain dawn landscape; open upper and lower center for UI text","exactly one living wand, fresh leaves, sunrise valley",ready,generated,"Reusable for 权杖一 through 权杖十; UI overlays Roman numeral I-X and Chinese card name; no embedded text, numeral, border, or character"
P,minor_wands_page,权杖侍从,Page of Wands,card_minor_wands_page.webp,1024x1792,WebP,"amber gold, warm ivory, terracotta, earth brown","full-body youthful page centered in a sunlit rocky valley","one living wand, traveler clothing, distant mountains",ready,generated,"Independent court-card art; exactly one wand; no embedded text, numeral, or border"
N,minor_wands_knight,权杖骑士,Knight of Wands,card_minor_wands_knight.webp,1024x1792,WebP,"amber gold, terracotta, ivory, chestnut brown","dynamic mounted knight crossing a warm desert-rock valley","one living wand, chestnut horse, dust, sunset",ready,generated,"Independent court-card art; exactly one wand; no embedded text, numeral, or border"
Q,minor_wands_queen,权杖王后,Queen of Wands,card_minor_wands_queen.webp,1024x1792,WebP,"amber gold, ivory, deep terracotta, sunflower yellow","regal seated queen in a luminous flower garden","one living wand, carved throne, sunflowers, black cat",ready,generated,"Independent court-card art; exactly one wand; no embedded text, numeral, or border"
K,minor_wands_king,权杖国王,King of Wands,card_minor_wands_king.webp,1024x1792,WebP,"burgundy, amber gold, bronze, earth brown","front-facing king on a dark carved throne above a mountain kingdom","one living wand, throne, volcanic mountains, warm sky",ready,generated,"Independent court-card art; exactly one wand; no embedded text, numeral, or border"
I-X,minor_cups_number_base,圣杯数字牌共用底图,Cups Number Card Base,card_minor_cups_number_base.webp,1024x1792,WebP,"pearl white, turquoise, pale aqua, warm gold, iris blue","single centered suit emblem in a serene waterside garden; open upper and lower center for UI text","exactly one golden chalice, glowing water, lilies, clear stream",ready,generated,"Reusable for 圣杯一 through 圣杯十; UI overlays Roman numeral I-X and Chinese card name; no embedded text, numeral, border, or character"
P,minor_cups_page,圣杯侍从,Page of Cups,card_minor_cups_page.webp,1024x1792,WebP,"pale aqua, pearl white, soft gold, iris blue","full-body youthful page beside a clear pool","one golden chalice, small magical fish, lilies, garden water",ready,generated,"Independent court-card art; exactly one cup; no embedded text, numeral, or border"
N,minor_cups_knight,圣杯骑士,Knight of Cups,card_minor_cups_knight.webp,1024x1792,WebP,"silver, ivory, pale blue, warm gold","graceful mounted knight beside a river in a flowering valley","one golden chalice, white horse, river, flowers",ready,generated,"Independent court-card art; exactly one cup; no embedded text, numeral, or border"
Q,minor_cups_queen,圣杯王后,Queen of Cups,card_minor_cups_queen.webp,1024x1792,WebP,"pearl white, aqua, silver gold, deep sea blue","serene seated queen on a pale throne at the sea edge","one sacred chalice, ocean, shells, moonlit dawn",ready,generated,"Independent court-card art; exactly one cup; no embedded text, numeral, or border"
K,minor_cups_king,圣杯国王,King of Cups,card_minor_cups_king.webp,1024x1792,WebP,"navy, pearl white, antique gold, sea blue","front-facing king on a stone throne beside the open sea","one golden chalice, throne, sea, distant waves",ready,generated,"Independent court-card art; exactly one cup; no embedded text, numeral, or border"
